msa_cod10,msa10_name,year,msa10_pop
10180,"Abilene, TX",1990,148004
10180,"Abilene, TX",2000,160245
10180,"Abilene, TX",2010,165252
10420,"Akron, OH",1990,657526
10420,"Akron, OH",2000,694902
10420,"Akron, OH",2010,703200
10500,"Albany, GA",1990,146574
10500,"Albany, GA",2000,157833
10500,"Albany, GA",2010,157308
10580,"Albany-Schenectady-Troy, NY",1990,809462
10580,"Albany-Schenectady-Troy, NY",2000,825887
10580,"Albany-Schenectady-Troy, NY",2010,870716
10740,"Albuquerque, NM",1990,599416
10740,"Albuquerque, NM",2000,729649
10740,"Albuquerque, NM",2010,887077
10780,"Alexandria, LA",1990,149082
10780,"Alexandria, LA",2000,145035
10780,"Alexandria, LA",2010,153922
10900,"Allentown-Bethlehem-Easton, PA-NJ",1990,686666
10900,"Allentown-Bethlehem-Easton, PA-NJ",2000,740392
10900,"Allentown-Bethlehem-Easton, PA-NJ",2010,821173
11020,"Altoona, PA",1990,130533
11020,"Altoona, PA",2000,129134
11020,"Altoona, PA",2010,127089
11100,"Amarillo, TX",1990,196145
11100,"Amarillo, TX",2000,226522
11100,"Amarillo, TX",2010,249881
11180,"Ames, IA",1990,74252
11180,"Ames, IA",2000,79981
11180,"Ames, IA",2010,89542
11260,"Anchorage, AK",1990,266021
11260,"Anchorage, AK",2000,319605
11260,"Anchorage, AK",2010,380821
11300,"Anderson, IN",1990,130669
11300,"Anderson, IN",2000,133358
11300,"Anderson, IN",2010,131636
11340,"Anderson, SC",1990,145201
11340,"Anderson, SC",2000,165746
11340,"Anderson, SC",2010,187126
11460,"Ann Arbor, MI",1990,282937
11460,"Ann Arbor, MI",2000,322895
11460,"Ann Arbor, MI",2010,344791
11500,"Anniston-Oxford, AL",1990,116035
11500,"Anniston-Oxford, AL",2000,112249
11500,"Anniston-Oxford, AL",2010,118572
11540,"Appleton, WI",1990,174810
11540,"Appleton, WI",2000,201607
11540,"Appleton, WI",2010,225666
11700,"Asheville, NC",1990,308007
11700,"Asheville, NC",2000,369166
11700,"Asheville, NC",2010,424858
12020,"Athens-Clarke County, GA",1990,136025
12020,"Athens-Clarke County, GA",2000,166079
12020,"Athens-Clarke County, GA",2010,192541
12060,"Atlanta-Sandy Springs-Marietta, GA",1990,3069418
12060,"Atlanta-Sandy Springs-Marietta, GA",2000,4247977
12060,"Atlanta-Sandy Springs-Marietta, GA",2010,5268860
12100,"Atlantic City-Hammonton, NJ",1990,224327
12100,"Atlantic City-Hammonton, NJ",2000,252552
12100,"Atlantic City-Hammonton, NJ",2010,274549
12220,"Auburn-Opelika, AL",1990,87261
12220,"Auburn-Opelika, AL",2000,115179
12220,"Auburn-Opelika, AL",2010,140247
12260,"Augusta-Richmond County, GA-SC",1990,435760
12260,"Augusta-Richmond County, GA-SC",2000,499684
12260,"Augusta-Richmond County, GA-SC",2010,556877
12420,"Austin-Round Rock-San Marcos, TX",1990,846229
12420,"Austin-Round Rock-San Marcos, TX",2000,1249769
12420,"Austin-Round Rock-San Marcos, TX",2010,1716289
12540,"Bakersfield-Delano, CA",1990,543484
12540,"Bakersfield-Delano, CA",2000,661661
12540,"Bakersfield-Delano, CA",2010,839631
12580,"Baltimore-Towson, MD",1990,2382178
12580,"Baltimore-Towson, MD",2000,2552998
12580,"Baltimore-Towson, MD",2010,2710489
12620,"Bangor, ME",1990,146601
12620,"Bangor, ME",2000,144919
12620,"Bangor, ME",2010,153923
12700,"Barnstable Town, MA",1990,186605
12700,"Barnstable Town, MA",2000,222230
12700,"Barnstable Town, MA",2010,215888
12940,"Baton Rouge, LA",1990,623840
12940,"Baton Rouge, LA",2000,705951
12940,"Baton Rouge, LA",2010,802484
12980,"Battle Creek, MI",1990,135982
12980,"Battle Creek, MI",2000,137985
12980,"Battle Creek, MI",2010,136146
13020,"Bay City, MI",1990,111723
13020,"Bay City, MI",2000,110157
13020,"Bay City, MI",2010,107771
13140,"Beaumont-Port Arthur, TX",1990,361226
13140,"Beaumont-Port Arthur, TX",2000,385090
13140,"Beaumont-Port Arthur, TX",2010,388745
13380,"Bellingham, WA",1990,127780
13380,"Bellingham, WA",2000,166814
13380,"Bellingham, WA",2010,201140
13460,"Bend, OR",1990,74958
13460,"Bend, OR",2000,115367
13460,"Bend, OR",2010,157733
13740,"Billings, MT",1990,121499
13740,"Billings, MT",2000,138904
13740,"Billings, MT",2010,158050
13780,"Binghamton, NY",1990,264497
13780,"Binghamton, NY",2000,252320
13780,"Binghamton, NY",2010,251725
13820,"Birmingham-Hoover, AL",1990,956879
13820,"Birmingham-Hoover, AL",2000,1052239
13820,"Birmingham-Hoover, AL",2010,1128047
13900,"Bismarck, ND",1990,83831
13900,"Bismarck, ND",2000,94719
13900,"Bismarck, ND",2010,108779
13980,"Blacksburg-Christiansburg-Radford, VA",1990,140690
13980,"Blacksburg-Christiansburg-Radford, VA",2000,151307
13980,"Blacksburg-Christiansburg-Radford, VA",2010,162958
14020,"Bloomington, IN",1990,156671
14020,"Bloomington, IN",2000,175510
14020,"Bloomington, IN",2010,192714
14060,"Bloomington-Normal, IL",1990,129180
14060,"Bloomington-Normal, IL",2000,150433
14060,"Bloomington-Normal, IL",2010,169572
14260,"Boise City-Nampa, ID",1990,319596
14260,"Boise City-Nampa, ID",2000,464840
14260,"Boise City-Nampa, ID",2010,616561
14460,"Boston-Cambridge-Quincy, MA-NH",1990,4133893
14460,"Boston-Cambridge-Quincy, MA-NH",2000,4391347
14460,"Boston-Cambridge-Quincy, MA-NH",2010,4552402
14500,"Boulder, CO",1990,208863
14500,"Boulder, CO",2000,269757
14500,"Boulder, CO",2010,294567
14540,"Bowling Green, KY",1990,87030
14540,"Bowling Green, KY",2000,104166
14540,"Bowling Green, KY",2010,125953
14740,"Bremerton-Silverdale, WA",1990,189726
14740,"Bremerton-Silverdale, WA",2000,231962
14740,"Bremerton-Silverdale, WA",2010,251133
14860,"Bridgeport-Stamford-Norwalk, CT",1990,827645
14860,"Bridgeport-Stamford-Norwalk, CT",2000,882569
14860,"Bridgeport-Stamford-Norwalk, CT",2010,916829
15180,"Brownsville-Harlingen, TX",1990,260120
15180,"Brownsville-Harlingen, TX",2000,335227
15180,"Brownsville-Harlingen, TX",2010,406220
15260,"Brunswick, GA",1990,82205
15260,"Brunswick, GA",2000,93041
15260,"Brunswick, GA",2010,112370
15380,"Buffalo-Niagara Falls, NY",1990,1189288
