"cbsa10","cbsaname10","intptlon","intptlat","pop10","afact"
"CBSA (2010)","2010 CBSA name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2010)","_us_ to cbsa10 allocation factor"
"10020","Abbeville, LA Micropolitan Statistical Area",-92.165933,29.993689,57999,0.000188 
"10100","Aberdeen, SD Micropolitan Statistical Area",-98.519824,45.47537,40602,0.000132 
"10140","Aberdeen, WA Micropolitan Statistical Area",-123.76767,46.991374,72797,0.000236 
"10180","Abilene, TX Metropolitan Statistical Area",-99.747195,32.452109,165252,0.000535 
"10220","Ada, OK Micropolitan Statistical Area",-96.671396,34.773666,37492,0.000121 
"10300","Adrian, MI Micropolitan Statistical Area",-84.052376,41.925187,99892,0.000324 
"10420","Akron, OH Metropolitan Statistical Area",-81.457919,41.128225,703200,0.002278 
"10460","Alamogordo, NM Micropolitan Statistical Area",-105.989321,32.806642,63797,0.000207 
"10500","Albany, GA Metropolitan Statistical Area",-84.14784,31.593555,157308,0.00051 
"10540","Albany-Lebanon, OR Micropolitan Statistical Area",-122.959647,44.554622,116672,0.000378 
"10580","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",-73.819697,42.787795,870716,0.00282 
"10620","Albemarle, NC Micropolitan Statistical Area",-80.24744,35.321526,60585,0.000196 
"10660","Albert Lea, MN Micropolitan Statistical Area",-93.361786,43.662564,31255,0.000101 
"10700","Albertville, AL Micropolitan Statistical Area",-86.293319,34.311975,93019,0.000301 
"10740","Albuquerque, NM Metropolitan Statistical Area",-106.620656,35.105462,887077,0.002873 
"10760","Alexander City, AL Micropolitan Statistical Area",-85.927609,32.879734,53155,0.000172 
"10780","Alexandria, LA Metropolitan Statistical Area",-92.469814,31.320752,153922,0.000499 
"10820","Alexandria, MN Micropolitan Statistical Area",-95.392006,45.909027,36009,0.000117 
"10860","Alice, TX Micropolitan Statistical Area",-98.064535,27.751904,40838,0.000132 
"10880","Allegan, MI Micropolitan Statistical Area",-85.874377,42.603138,111408,0.000361 
"10900","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",-75.391297,40.683247,821173,0.00266 
"10940","Alma, MI Micropolitan Statistical Area",-84.629375,43.343315,42476,0.000138 
"10980","Alpena, MI Micropolitan Statistical Area",-83.504451,45.050954,29598,0.000096 
"11020","Altoona, PA Metropolitan Statistical Area",-78.377158,40.48552,127089,0.000412 
